Date,adj_close,close,high,low,open,volume,return_1d,ma_5,ma_20,vol_20,target
2020-01-02,53.503265380859375,60.040000915527344,60.119998931884766,59.599998474121094,59.599998474121094,8432600,,,,,0
2020-01-03,51.73883438110352,58.060001373291016,58.97999954223633,58.040000915527344,58.970001220703125,10546400,-0.0329780065297145,,,,0
2020-01-06,51.14178466796875,57.38999938964844,57.689998626708984,57.130001068115234,57.599998474121094,8897200,-0.011539820320272898,,,,1
2020-01-07,51.97053527832031,58.31999969482422,58.599998474121094,56.7400016784668,57.45000076293945,7444300,0.016204919237959192,,,,1
2020-01-08,52.35370635986328,58.75,58.97999954223633,58.11000061035156,58.189998626708984,5381500,0.007373119125958061,58.512000274658206,,,1
2020-01-09,52.78145980834961,59.22999954223633,59.709999084472656,58.70000076293945,59.689998626708984,5112700,0.008170204974235373,58.35,,,0
2020-01-10,52.45174789428711,58.86000061035156,59.70000076293945,58.77000045776367,59.70000076293945,4807700,-0.006246816389402832,58.50999984741211,,,1
2020-01-13,53.52109909057617,60.060001373291016,60.15999984741211,59.45000076293945,60.150001525878906,6613700,0.02038737258742751,59.044000244140626,,,1
2020-01-14,53.7527961730957,60.31999969482422,60.63999938964844,59.91999816894531,60.15999984741211,6715200,0.004328976283520802,59.444000244140625,,,0
2020-01-15,52.03290557861328,58.38999938964844,59.70000076293945,58.2599983215332,59.66999816894531,10075100,-0.03199602644131616,59.37200012207031,,,1
2020-01-16,52.35370635986328,58.75,59.689998626708984,58.29999923706055,59.20000076293945,11215700,0.006165449805012102,59.27600021362305,,,0
2020-01-17,52.20223617553711,58.58000183105469,58.75,58.0099983215332,58.63999938964844,8125700,-0.0028935858543882587,59.220000457763675,,,0
2020-01-21,51.89925384521485,58.2400016784668,59.0,57.470001220703125,57.9900016784668,9873700,-0.005804031102089269,58.85600051879883,,,1
2020-01-22,51.99726104736328,58.349998474121094,58.939998626708984,58.31999969482422,58.900001525878906,8124500,0.0018886811896325906,58.4620002746582,,,0
2020-01-23,51.22197341918945,57.47999954223633,58.06999969482422,56.619998931884766,57.86000061035156,9999200,-0.014910007791527513,58.28000030517578,,,1
2020-01-24,51.44475936889648,57.72999954223633,58.13999938964844,57.459999084472656,58.09000015258789,10402200,0.004349338935124791,58.07600021362305,,,0
2020-01-27,49.243690490722656,55.2599983215332,55.9900016784668,55.060001373291016,55.619998931884766,9675500,-0.042785401702558956,57.41199951171875,,,1
2020-01-28,50.87444305419922,57.09000015258789,57.119998931884766,55.47999954223633,55.72999954223633,8124400,0.03311621220845362,57.18199920654297,,,1
2020-01-29,50.96356201171875,57.189998626708984,57.52000045776367,56.849998474121094,57.52000045776367,7693400,0.001751593516444494,56.949999237060545,,,0
2020-01-30,49.724910736083984,55.79999923706055,56.040000915527344,55.060001373291016,55.08000183105469,10295700,-0.024304938328837067,56.61399917602539,58.19449996948242,1.2922913241557694,0
2020-01-31,48.06739044189453,53.939998626708984,55.47999954223633,53.599998474121094,55.43000030517578,13467200,-0.03333334472729188,55.85599899291992,57.88949985504151,1.5315064307459192,1
2020-02-03,48.807029724121094,54.77000045776367,54.939998626708984,54.13999938964844,54.349998474121094,9594300,0.015387501894442046,55.757999420166016,57.724999809265135,1.6815676805570898,1
2020-02-04,51.25763320922851,57.52000045776367,57.63999938964844,56.900001525878906,56.91999816894531,12746600,0.05020996854145876,55.84399948120117,57.7314998626709,1.6804554811854144,1
2020-02-05,51.61407852172851,57.91999816894531,58.150001525878906,57.16999816894531,58.099998474121094,6594400,0.006954063073684402,55.98999938964844,57.711499786376955,1.675455654577592,1
2020-02-06,51.70319366455078,58.02000045776367,58.279998779296875,57.279998779296875,58.27000045776367,4236300,0.0017265589084907162,56.433999633789064,57.67499980926514,1.6595168346085145,0
2020-02-07,50.08134841918945,56.20000076293945,57.13999938964844,56.060001373291016,57.13999938964844,6808400,-0.031368488115561255,56.886000061035155,57.52349987030029,1.6483561149094217,1
2020-02-10,50.812068939208984,57.02000045776367,57.04999923706055,56.34000015258789,56.439998626708984,4281200,0.01459074170271113,57.33600006103516,57.4314998626709,1.6209561368106387,1
2020-02-11,52.27351760864258,58.65999984741211,58.900001525878906,57.810001373291016,57.95000076293945,6523200,0.028761827016526187,57.56399993896484,57.36149978637695,1.529097927389167,1
2020-02-12,53.137908935546875,59.630001068115234,59.75,58.900001525878906,59.25,5962900,0.01653599084940871,57.90600051879883,57.32699985504151,1.4652867585542468,0
2020-02-13,52.87057113647461,59.33000183105469,59.70000076293945,58.7400016784668,59.130001068115234,6460100,-0.005031011767346105,58.16800079345703,57.373999977111815,1.5153965797933715,0
2020-02-14,51.854698181152344,58.189998626708984,59.16999816894531,57.869998931884766,59.02000045776367,6932400,-0.019214616031732468,58.566000366210936,57.34599990844727,1.4936515965066643,0
2020-02-18,50.06351089477539,56.18000030517578,56.560001373291016,55.630001068115234,56.099998474121094,10989000,-0.03454198949938836,58.39800033569336,57.22599983215332,1.4856807886021843,1
