Date,adj_close,close,high,low,open,volume,return_1d,ma_5,ma_20,vol_20,target,return_5d,return_20d,close_to_ma_5,close_to_ma_20,ma_5_20_spread,volume_ratio_20,intraday_range,overnight_gap
2020-01-02,53.503273010253906,60.040000915527344,60.119998931884766,59.599998474121094,59.599998474121094,8432600,,,,,0,,,,,,,0.008660900230419401,
2020-01-03,51.73884201049805,58.060001373291016,58.97999954223633,58.040000915527344,58.970001220703125,10546400,-0.0329780065297145,,,,0,,,,,,,0.016190124086724638,-0.017821447010462954
2020-01-06,51.14177322387695,57.38999938964844,57.689998626708984,57.130001068115234,57.599998474121094,8897200,-0.011539820320272898,,,,1,,,,,,,0.009757755088855393,-0.007922888189622612
2020-01-07,51.97052764892578,58.31999969482422,58.599998474121094,56.7400016784668,57.45000076293945,7444300,0.016204919237959192,,,,1,,,,,,,0.03189294933791585,0.0010455022465436503
2020-01-08,52.35371398925781,58.75,58.97999954223633,58.11000061035156,58.189998626708984,5381500,0.007373119125958061,58.512000274658206,,,1,,,0.004067536987705234,,,,0.014808492457613032,-0.0022290992591821324
2020-01-09,52.78145980834961,59.22999954223633,59.709999084472656,58.70000076293945,59.689998626708984,5112700,0.008170204974235373,58.35,,,0,-0.013491028663218052,,0.01508139746763204,,,,0.017052141302364578,0.015999976624833767
2020-01-10,52.45174026489258,58.86000061035156,59.70000076293945,58.77000045776367,59.70000076293945,4807700,-0.006246816389402832,58.50999984741211,,,1,0.013778835999624484,,0.005981896493799654,,,,0.015800208894531074,0.007935188660063597
2020-01-13,53.52109909057617,60.060001373291016,60.15999984741211,59.45000076293945,60.150001525878906,6613700,0.02038737258742751,59.044000244140626,,,1,0.04652381969051156,,0.01720752531924208,,,,0.011821496307664029,0.02191642715172648
2020-01-14,53.75278854370117,60.31999969482422,60.63999938964844,59.91999816894531,60.15999984741211,6715200,0.004328976283520802,59.444000244140625,,,0,0.034293552991522036,,0.014736549476579652,,,,0.01193635982005658,0.0016649762210223518
2020-01-15,52.03291320800781,58.38999938964844,59.70000076293945,58.2599983215332,59.66999816894531,10075100,-0.03199602644131616,59.37200012207031,,,1,-0.006127669963430837,,-0.016539795364866494,,,,0.024661799220048256,-0.010775887419884667
2020-01-16,52.35371398925781,58.75,59.689998626708984,58.29999923706055,59.20000076293945,11215700,0.006165449805012102,59.27600021362305,,,0,-0.008103993684721256,,-0.008873746739446187,,,,0.02365956407912234,0.01387226206127723
2020-01-17,52.20222854614258,58.58000183105469,58.75,58.0099983215332,58.63999938964844,8125700,-0.0028935858543882587,59.220000457763675,,,0,-0.00475702984018711,,-0.010807136470143086,,,,0.012632325970234162,-0.001872350814494661
2020-01-21,51.89924240112305,58.2400016784668,59.0,57.470001220703125,57.9900016784668,9873700,-0.005804031102089269,58.85600051879883,,,1,-0.030303024528960165,,-0.01046620284936417,,,,0.02627058267861563,-0.010071699114818311
2020-01-22,51.99726867675781,58.349998474121094,58.939998626708984,58.31999969482422,58.900001525878906,8124500,0.0018886811896325906,58.4620002746582,,,0,-0.032659171595986636,,-0.0019158051385672614,,,,0.010625517533813517,0.011332414635834898
2020-01-23,51.22199249267578,57.47999954223633,58.06999969482422,56.619998931884766,57.86000061035156,9999200,-0.014910007791527513,58.28000030517578,,,1,-0.015584857970959987,,-0.013726848983362294,,,,0.025226179096852496,-0.008397564294485016
2020-01-24,51.44475555419922,57.72999954223633,58.13999938964844,57.459999084472656,58.09000015258789,10402200,0.004349338935124791,58.07600021362305,,,0,-0.017361709919381685,,-0.0059577221246989165,,,,0.011778976451892756,0.010612397620207492
2020-01-27,49.243690490722656,55.2599983215332,55.9900016784668,55.060001373291016,55.619998931884766,9675500,-0.042785401702558956,57.41199951171875,,,1,-0.056674691118931864,,-0.037483473986065996,,,,0.016829539149902352,-0.03654946521882174
2020-01-28,50.87444686889648,57.09000015258789,57.119998931884766,55.47999954223633,55.72999954223633,8124400,0.03311621220845362,57.18199920654297,,,1,-0.01974590475164939,,-0.0016088813828067927,,,,0.028726561311352462,0.008505270267443743
